Configuration,Features,test_acc,test_f1,cv_acc_mean,cv_acc_std
Size-only,2,0.5724,0.5725,0.5691,0.0131
Complexity+Size,9,0.6591,0.6585,0.6557,0.0052
Full Model (all groups),33,0.8056,0.8053,0.7954,0.0033
w/o AST Structural,25,0.8044,0.8033,0.7896,0.0047
w/o Complexity,29,0.8014,0.8012,0.7927,0.0037
w/o Density,28,0.7775,0.7763,0.777,0.0073
w/o Entropy,30,0.805,0.8045,0.793,0.0053
w/o Counts,25,0.7799,0.7797,0.7767,0.0053
w/o Halstead,28,0.8044,0.8039,0.7927,0.0051
Only AST Structural,8,0.6938,0.6932,0.6911,0.0061
Only Complexity,4,0.512,0.4775,0.5057,0.0136
Only Density,5,0.7111,0.7112,0.6937,0.0085
Only Entropy,3,0.683,0.6815,0.6668,0.005
Only Counts,8,0.7416,0.7383,0.7407,0.0057
Only Halstead,5,0.5969,0.596,0.5897,0.0091
